"","Date","MXEA.Index"
"790",1993-01-07,"745.94"
"791",1993-01-08,"738.53"
"792",1993-01-11,"738.93"
"793",1993-01-12,"735.31"
"794",1993-01-13,"730.71"
"795",1993-01-14,"734.30"
"796",1993-01-15,"735.48"
"797",1993-01-18,"739.29"
"798",1993-01-19,"742.26"
"799",1993-01-20,"741.73"
"800",1993-01-21,"739.29"
"801",1993-01-22,"737.99"
"802",1993-01-25,"745.42"
"803",1993-01-26,"748.77"
"804",1993-01-27,"744.16"
"805",1993-01-28,"751.02"
"806",1993-01-29,"747.35"
"807",1993-02-01,"744.81"
"808",1993-02-02,"744.77"
"809",1993-02-03,"745.54"
"810",1993-02-04,"745.75"
"811",1993-02-05,"751.88"
"812",1993-02-08,"752.77"
"813",1993-02-09,"751.90"
"814",1993-02-10,"753.40"
"815",1993-02-11,"757.74"
"816",1993-02-12,"755.52"
"817",1993-02-15,"757.09"
"818",1993-02-16,"759.56"
"819",1993-02-17,"761.97"
"820",1993-02-18,"762.83"
"821",1993-02-19,"768.03"
"822",1993-02-22,"774.20"
"823",1993-02-23,"769.59"
"824",1993-02-24,"766.20"
"825",1993-02-25,"766.44"
"826",1993-02-26,"768.77"
"827",1993-03-01,"771.46"
"828",1993-03-02,"775.84"
"829",1993-03-03,"779.30"
"830",1993-03-04,"776.78"
"831",1993-03-05,"774.80"
"832",1993-03-08,"791.65"
"833",1993-03-09,"795.17"
"834",1993-03-10,"793.49"
"835",1993-03-11,"794.71"
"836",1993-03-12,"791.97"
"837",1993-03-15,"788.32"
"838",1993-03-16,"790.47"
"839",1993-03-17,"795.75"
"840",1993-03-18,"810.56"
"841",1993-03-19,"821.60"
"842",1993-03-22,"818.06"
"843",1993-03-23,"813.75"
"844",1993-03-24,"807.98"
"845",1993-03-25,"812.34"
"846",1993-03-26,"822.23"
"847",1993-03-29,"828.14"
"848",1993-03-30,"829.68"
"849",1993-03-31,"834.60"
"850",1993-04-01,"848.97"
"851",1993-04-02,"867.72"
"852",1993-04-05,"871.37"
"853",1993-04-06,"860.98"
"854",1993-04-07,"871.17"
"855",1993-04-08,"879.80"
"856",1993-04-09,"877.15"
"857",1993-04-12,"879.17"
"858",1993-04-13,"901.86"
"859",1993-04-14,"894.49"
"860",1993-04-15,"894.18"
"861",1993-04-16,"881.35"
"862",1993-04-19,"888.40"
"863",1993-04-20,"890.24"
"864",1993-04-21,"883.56"
"865",1993-04-22,"886.72"
"866",1993-04-23,"891.51"
"867",1993-04-26,"897.19"
"868",1993-04-27,"907.46"
"869",1993-04-28,"901.09"
"870",1993-04-29,"901.23"
